call_id,rep_id,rep_name,rep_region,npi,call_date,call_type,detailing_topic,outcome
CALL3000039,REP001,Alice Carter,East,1800000241,2025-07-05,Email Follow-up,Safety & Tolerability,Favorable
CALL3000040,REP004,Diana Prince,Midwest,1800000005,2025-07-28,In-Person,Efficacy Profile,High Interest
CALL3000041,REP002,Bob Mendez,West,1800000176,2025-03-25,Virtual Video,Efficacy Profile,Favorable
CALL3000042,REP002,Bob Mendez,West,1800000006,2025-04-27,Email Follow-up,Clinical Trials Data,Favorable
CALL3000043,REP004,Diana Prince,Midwest,1800000129,2025-05-25,Email Follow-up,Safety & Tolerability,High Interest
CALL3000044,REP005,Ethan Hunt,Northeast,1800000023,2025-07-30,In-Person,Safety & Tolerability,Neutral
CALL3000045,REP001,Alice Carter,East,1800000054,2025-05-20,Virtual Video,Efficacy Profile,Busy - Left Materials
CALL3000046,REP002,Bob Mendez,West,1800000130,2025-11-09,Phone Call,Market Access & Formulary Update,High Interest
CALL3000047,REP003,Charlie Vance,South,1800000035,2025-05-30,Phone Call,Efficacy Profile,High Interest
CALL3000048,REP004,Diana Prince,Midwest,1800000135,2025-10-13,Virtual Video,Market Access & Formulary Update,Favorable
CALL3000049,REP001,Alice Carter,East,1800000209,2025-02-03,Phone Call,Safety & Tolerability,Busy - Left Materials
CALL3000050,REP004,Diana Prince,Midwest,1800000141,2025-06-27,Email Follow-up,Safety & Tolerability,Favorable
CALL3000051,REP003,Charlie Vance,South,1800000099,2025-07-13,Email Follow-up,Clinical Trials Data,Busy - Left Materials
CALL3000052,REP005,Ethan Hunt,Northeast,1800000033,2025-11-12,Virtual Video,Efficacy Profile,High Interest
CALL3000053,REP004,Diana Prince,Midwest,1800000054,2025-08-30,In-Person,Safety & Tolerability,Unfavorable
CALL3000054,REP004,Diana Prince,Midwest,1800000204,2025-09-10,Phone Call,Clinical Trials Data,Neutral
CALL3000055,REP002,Bob Mendez,West,1800000130,2025-12-06,Phone Call,Efficacy Profile,Unfavorable
CALL3000056,REP005,Ethan Hunt,Northeast,1800000219,2025-03-27,Phone Call,Clinical Trials Data,High Interest
CALL3000057,REP003,Charlie Vance,South,1800000069,2025-06-22,Phone Call,Co-pay Assistance Program,Favorable
CALL3000058,REP005,Ethan Hunt,Northeast,1800000063,2025-07-08,Email Follow-up,Co-pay Assistance Program,Favorable
CALL3000059,REP001,Alice Carter,East,1800000013,2025-10-25,Phone Call,Safety & Tolerability,Unfavorable
CALL3000060,REP001,Alice Carter,East,1800000090,2025-05-25,Email Follow-up,Market Access & Formulary Update,Neutral
CALL3000061,REP005,Ethan Hunt,Northeast,1800000152,2025-09-19,Virtual Video,Efficacy Profile,High Interest
CALL3000062,REP005,Ethan Hunt,Northeast,1800000195,2025-08-06,In-Person,Market Access & Formulary Update,High Interest
CALL3000063,REP004,Diana Prince,Midwest,1800000095,2025-04-23,Virtual Video,Market Access & Formulary Update,Unfavorable
CALL3000064,REP003,Charlie Vance,South,1800000197,2025-07-12,Email Follow-up,Clinical Trials Data,High Interest
CALL3000065,REP001,Alice Carter,East,1800000221,2025-12-27,Phone Call,Safety & Tolerability,Busy - Left Materials
CALL3000066,REP001,Alice Carter,East,1800000152,2025-09-21,Virtual Video,Market Access & Formulary Update,Busy - Left Materials
CALL3000067,REP003,Charlie Vance,South,1800000075,2025-09-27,Phone Call,Safety & Tolerability,Favorable
CALL3000068,REP005,Ethan Hunt,Northeast,1800000166,2025-01-05,Phone Call,Safety & Tolerability,Busy - Left Materials
CALL3000069,REP002,Bob Mendez,West,1800000065,2025-08-16,In-Person,Clinical Trials Data,Busy - Left Materials
CALL3000070,REP005,Ethan Hunt,Northeast,1800000011,2025-05-12,Email Follow-up,Market Access & Formulary Update,High Interest
CALL3000071,REP003,Charlie Vance,South,1800000162,2025-12-17,Phone Call,Co-pay Assistance Program,Neutral
CALL3000072,REP002,Bob Mendez,West,1800000150,2025-03-29,Phone Call,Market Access & Formulary Update,Favorable
CALL3000073,REP003,Charlie Vance,South,1800000149,2025-02-25,Phone Call,Market Access & Formulary Update,High Interest
CALL3000074,REP005,Ethan Hunt,Northeast,1800000115,2025-05-13,Phone Call,Market Access & Formulary Update,Favorable
CALL3000075,REP001,Alice Carter,East,1800000167,2025-09-17,Virtual Video,Efficacy Profile,High Interest
CALL3000076,REP003,Charlie Vance,South,1800000134,2025-09-04,Email Follow-up,Market Access & Formulary Update,Busy - Left Materials
CALL3000077,REP005,Ethan Hunt,Northeast,1800000187,2025-05-12,Email Follow-up,Efficacy Profile,Unfavorable
CALL3000078,REP003,Charlie Vance,South,1800000217,2025-02-12,Email Follow-up,Co-pay Assistance Program,Busy - Left Materials
CALL3000079,REP001,Alice Carter,East,1800000067,2025-02-23,Email Follow-up,Market Access & Formulary Update,Busy - Left Materials
CALL3000080,REP003,Charlie Vance,South,1800000248,2025-12-10,In-Person,Efficacy Profile,Neutral
CALL3000081,REP004,Diana Prince,Midwest,1800000106,2025-04-10,Virtual Video,Clinical Trials Data,Favorable
CALL3000082,REP003,Charlie Vance,South,1800000109,2025-04-22,In-Person,Safety & Tolerability,Neutral
CALL3000083,REP004,Diana Prince,Midwest,1800000139,2025-08-01,Phone Call,Safety & Tolerability,Neutral
CALL3000084,REP004,Diana Prince,Midwest,1800000142,2025-07-16,Email Follow-up,Clinical Trials Data,Busy - Left Materials
CALL3000085,REP002,Bob Mendez,West,1800000110,2025-01-15,Virtual Video,Safety & Tolerability,High Interest
CALL3000086,REP001,Alice Carter,East,1800000164,2025-12-13,Virtual Video,Co-pay Assistance Program,Neutral
CALL3000087,REP005,Ethan Hunt,Northeast,1800000110,2025-02-12,Phone Call,Co-pay Assistance Program,Busy - Left Materials
CALL3000088,REP005,Ethan Hunt,Northeast,1800000148,2025-09-17,Phone Call,Co-pay Assistance Program,High Interest
CALL3000089,REP005,Ethan Hunt,Northeast,1800000174,2025-06-28,In-Person,Market Access & Formulary Update,Unfavorable
CALL3000090,REP004,Diana Prince,Midwest,1800000132,2025-04-15,Virtual Video,Clinical Trials Data,Busy - Left Materials
CALL3000091,REP002,Bob Mendez,West,1800000203,2025-09-30,In-Person,Market Access & Formulary Update,Favorable
CALL3000092,REP002,Bob Mendez,West,1800000125,2025-02-26,In-Person,Co-pay Assistance Program,Unfavorable
CALL3000093,REP004,Diana Prince,Midwest,1800000003,2025-03-26,Virtual Video,Safety & Tolerability,Unfavorable
CALL3000094,REP005,Ethan Hunt,Northeast,1800000006,2025-05-22,Email Follow-up,Safety & Tolerability,Favorable
CALL3000095,REP004,Diana Prince,Midwest,1800000202,2025-04-04,Virtual Video,Co-pay Assistance Program,Favorable
CALL3000096,REP004,Diana Prince,Midwest,1800000237,2025-06-11,In-Person,Efficacy Profile,Busy - Left Materials
CALL3000097,REP002,Bob Mendez,West,1800000089,2025-10-21,Email Follow-up,Market Access & Formulary Update,Busy - Left Materials
CALL3000098,REP001,Alice Carter,East,1800000129,2025-07-08,In-Person,Efficacy Profile,Neutral
CALL3000099,REP004,Diana Prince,Midwest,1800000114,2025-08-27,In-Person,Clinical Trials Data,Favorable
CALL3000100,REP001,Alice Carter,East,1800000177,2025-06-11,Virtual Video,Market Access & Formulary Update,High Interest
CALL3000101,REP005,Ethan Hunt,Northeast,1800000204,2025-07-25,Virtual Video,Clinical Trials Data,Unfavorable
CALL3000102,REP004,Diana Prince,Midwest,1800000226,2025-02-26,In-Person,Market Access & Formulary Update,Unfavorable
CALL3000103,REP001,Alice Carter,East,1800000145,2025-03-26,Virtual Video,Co-pay Assistance Program,Neutral
CALL3000104,REP001,Alice Carter,East,1800000215,2025-03-08,Email Follow-up,Efficacy Profile,Unfavorable
CALL3000105,REP002,Bob Mendez,West,1800000086,2025-12-05,Email Follow-up,Co-pay Assistance Program,Favorable
CALL3000106,REP003,Charlie Vance,South,1800000166,2025-06-06,In-Person,Market Access & Formulary Update,Neutral
CALL3000107,REP005,Ethan Hunt,Northeast,1800000075,2025-03-23,In-Person,Co-pay Assistance Program,Unfavorable
CALL3000108,REP003,Charlie Vance,South,1800000161,2025-05-09,Virtual Video,Market Access & Formulary Update,Busy - Left Materials
CALL3000109,REP004,Diana Prince,Midwest,1800000238,2025-08-28,Phone Call,Clinical Trials Data,Busy - Left Materials
CALL3000110,REP003,Charlie Vance,South,1800000059,2025-09-24,Email Follow-up,Clinical Trials Data,Unfavorable
CALL3000111,REP005,Ethan Hunt,Northeast,1800000020,2025-06-09,Phone Call,Safety & Tolerability,Unfavorable
CALL3000112,REP002,Bob Mendez,West,1800000173,2025-06-07,In-Person,Safety & Tolerability,Favorable
CALL3000113,REP004,Diana Prince,Midwest,1800000053,2025-04-07,Virtual Video,Clinical Trials Data,Neutral
CALL3000114,REP001,Alice Carter,East,1800000134,2025-02-19,Phone Call,Co-pay Assistance Program,Neutral
CALL3000115,REP005,Ethan Hunt,Northeast,1800000147,2025-01-31,Virtual Video,Efficacy Profile,Unfavorable
CALL3000116,REP003,Charlie Vance,South,1800000036,2025-08-28,Virtual Video,Co-pay Assistance Program,Unfavorable
CALL3000117,REP005,Ethan Hunt,Northeast,1800000028,2025-10-20,Virtual Video,Efficacy Profile,Neutral
CALL3000118,REP004,Diana Prince,Midwest,1800000172,2025-09-17,Email Follow-up,Co-pay Assistance Program,Neutral
CALL3000119,REP005,Ethan Hunt,Northeast,1800000212,2025-03-25,Email Follow-up,Efficacy Profile,Favorable
CALL3000120,REP001,Alice Carter,East,1800000203,2025-06-10,Virtual Video,Market Access & Formulary Update,Busy - Left Materials
CALL3000121,REP001,Alice Carter,East,1800000010,2025-03-03,In-Person,Clinical Trials Data,Favorable
CALL3000122,REP003,Charlie Vance,South,1800000110,2025-07-10,Virtual Video,Efficacy Profile,Favorable
CALL3000123,REP002,Bob Mendez,West,1800000091,2025-07-27,Virtual Video,Co-pay Assistance Program,Neutral
CALL3000124,REP002,Bob Mendez,West,1800000119,2025-08-01,Virtual Video,Market Access & Formulary Update,Favorable
CALL3000125,REP001,Alice Carter,East,1800000109,2025-08-03,Phone Call,Co-pay Assistance Program,Neutral
CALL3000126,REP004,Diana Prince,Midwest,1800000226,2025-11-26,Email Follow-up,Clinical Trials Data,High Interest
CALL3000127,REP002,Bob Mendez,West,1800000113,2025-01-25,Email Follow-up,Efficacy Profile,High Interest
CALL3000128,REP001,Alice Carter,East,1800000145,2025-07-11,Phone Call,Clinical Trials Data,Neutral
CALL3000129,REP002,Bob Mendez,West,1800000233,2025-09-17,Virtual Video,Co-pay Assistance Program,Busy - Left Materials
CALL3000130,REP005,Ethan Hunt,Northeast,1800000066,2025-12-19,Virtual Video,Clinical Trials Data,High Interest
CALL3000131,REP001,Alice Carter,East,1800000122,2025-11-28,In-Person,Market Access & Formulary Update,Neutral
CALL3000132,REP004,Diana Prince,Midwest,1800000159,2025-02-24,In-Person,Clinical Trials Data,Unfavorable
CALL3000133,REP001,Alice Carter,East,1800000129,2025-10-14,Email Follow-up,Co-pay Assistance Program,Unfavorable
CALL3000134,REP001,Alice Carter,East,1800000093,2025-10-09,In-Person,Market Access & Formulary Update,Busy - Left Materials
CALL3000135,REP002,Bob Mendez,West,1800000061,2025-11-05,Virtual Video,Clinical Trials Data,Unfavorable
CALL3000136,REP003,Charlie Vance,South,1800000015,2025-09-15,Email Follow-up,Efficacy Profile,Unfavorable
CALL3000137,REP003,Charlie Vance,South,1800000123,2025-02-10,Phone Call,Clinical Trials Data,Favorable
CALL3000138,REP001,Alice Carter,East,1800000003,2025-01-26,In-Person,Co-pay Assistance Program,Busy - Left Materials
CALL3000139,REP001,Alice Carter,East,1800000202,2025-10-20,Phone Call,Efficacy Profile,Busy - Left Materials
CALL3000140,REP003,Charlie Vance,South,1800000230,2025-08-10,Phone Call,Market Access & Formulary Update,High Interest
CALL3000141,REP001,Alice Carter,East,1800000050,2025-08-16,In-Person,Market Access & Formulary Update,Busy - Left Materials
CALL3000142,REP001,Alice Carter,East,1800000238,2025-06-04,Email Follow-up,Safety & Tolerability,Unfavorable
CALL3000143,REP001,Alice Carter,East,1800000014,2025-03-14,Email Follow-up,Co-pay Assistance Program,Favorable
CALL3000144,REP002,Bob Mendez,West,1800000121,2025-09-17,Virtual Video,Clinical Trials Data,Busy - Left Materials
CALL3000145,REP002,Bob Mendez,West,1800000231,2025-05-02,In-Person,Co-pay Assistance Program,Busy - Left Materials
CALL3000146,REP001,Alice Carter,East,1800000024,2025-03-16,Email Follow-up,Efficacy Profile,Neutral
CALL3000147,REP004,Diana Prince,Midwest,1800000232,2025-12-28,Virtual Video,Market Access & Formulary Update,Favorable
CALL3000148,REP004,Diana Prince,Midwest,1800000100,2025-10-29,Virtual Video,Safety & Tolerability,Busy - Left Materials
CALL3000149,REP002,Bob Mendez,West,1800000014,2025-02-18,Virtual Video,Co-pay Assistance Program,Favorable
CALL3000150,REP001,Alice Carter,East,1800000065,2025-09-18,Email Follow-up,Clinical Trials Data,Favorable
CALL3000151,REP001,Alice Carter,East,1800000038,2025-12-27,Email Follow-up,Safety & Tolerability,Unfavorable
CALL3000152,REP001,Alice Carter,East,1800000021,2025-10-10,In-Person,Safety & Tolerability,High Interest
CALL3000153,REP005,Ethan Hunt,Northeast,1800000101,2025-12-19,Phone Call,Safety & Tolerability,Neutral
CALL3000154,REP005,Ethan Hunt,Northeast,1800000018,2025-04-09,Phone Call,Market Access & Formulary Update,Favorable
CALL3000155,REP004,Diana Prince,Midwest,1800000064,2025-09-12,Phone Call,Clinical Trials Data,Unfavorable
CALL3000156,REP005,Ethan Hunt,Northeast,1800000221,2025-12-25,Virtual Video,Co-pay Assistance Program,Neutral
CALL3000157,REP005,Ethan Hunt,Northeast,1800000229,2025-03-05,Email Follow-up,Market Access & Formulary Update,High Interest
CALL3000158,REP002,Bob Mendez,West,1800000055,2025-10-18,In-Person,Clinical Trials Data,Favorable
CALL3000159,REP002,Bob Mendez,West,1800000196,2025-03-08,Virtual Video,Safety & Tolerability,Unfavorable
CALL3000160,REP002,Bob Mendez,West,1800000181,2025-12-25,Email Follow-up,Co-pay Assistance Program,Neutral
CALL3000161,REP001,Alice Carter,East,1800000199,2025-04-15,Email Follow-up,Efficacy Profile,Neutral
CALL3000162,REP003,Charlie Vance,South,1800000074,2025-05-25,In-Person,Co-pay Assistance Program,Neutral
CALL3000163,REP004,Diana Prince,Midwest,1800000083,2025-06-30,Virtual Video,Safety & Tolerability,Neutral
CALL3000164,REP001,Alice Carter,East,1800000236,2025-04-14,Email Follow-up,Market Access & Formulary Update,High Interest
CALL3000165,REP004,Diana Prince,Midwest,1800000009,2025-03-22,Phone Call,Market Access & Formulary Update,Unfavorable
CALL3000166,REP001,Alice Carter,East,1800000072,2025-12-12,In-Person,Efficacy Profile,Busy - Left Materials
CALL3000167,REP001,Alice Carter,East,1800000121,2025-10-10,Email Follow-up,Market Access & Formulary Update,Unfavorable
CALL3000168,REP004,Diana Prince,Midwest,1800000127,2025-07-02,Virtual Video,Clinical Trials Data,High Interest
CALL3000169,REP001,Alice Carter,East,1800000071,2025-06-10,Phone Call,Co-pay Assistance Program,Busy - Left Materials
CALL3000170,REP005,Ethan Hunt,Northeast,1800000073,2025-03-13,Email Follow-up,Co-pay Assistance Program,Favorable
CALL3000171,REP004,Diana Prince,Midwest,1800000055,2025-08-21,Virtual Video,Safety & Tolerability,Busy - Left Materials
CALL3000172,REP005,Ethan Hunt,Northeast,1800000224,2025-06-26,Virtual Video,Clinical Trials Data,Favorable
CALL3000173,REP003,Charlie Vance,South,1800000080,2025-05-21,Email Follow-up,Efficacy Profile,Favorable
CALL3000174,REP002,Bob Mendez,West,1800000097,2025-10-30,Phone Call,Efficacy Profile,Neutral
CALL3000175,REP002,Bob Mendez,West,1800000107,2025-11-02,Virtual Video,Efficacy Profile,High Interest
CALL3000176,REP005,Ethan Hunt,Northeast,1800000025,2025-03-15,Phone Call,Market Access & Formulary Update,Neutral
CALL3000177,REP002,Bob Mendez,West,1800000222,2025-06-09,In-Person,Safety & Tolerability,Unfavorable
CALL3000178,REP004,Diana Prince,Midwest,1800000234,2025-01-09,Phone Call,Safety & Tolerability,Unfavorable
CALL3000179,REP005,Ethan Hunt,Northeast,1800000121,2025-01-12,Email Follow-up,Co-pay Assistance Program,High Interest
CALL3000180,REP001,Alice Carter,East,1800000053,2025-09-10,Phone Call,Market Access & Formulary Update,Unfavorable
CALL3000181,REP004,Diana Prince,Midwest,1800000214,2025-09-13,Virtual Video,Clinical Trials Data,Favorable
CALL3000182,REP004,Diana Prince,Midwest,1800000098,2025-11-08,Virtual Video,Co-pay Assistance Program,Busy - Left Materials
CALL3000183,REP001,Alice Carter,East,1800000002,2025-06-19,Virtual Video,Efficacy Profile,Unfavorable
CALL3000184,REP001,Alice Carter,East,1800000076,2025-12-08,Phone Call,Clinical Trials Data,Unfavorable
CALL3000185,REP003,Charlie Vance,South,1800000007,2025-06-17,In-Person,Co-pay Assistance Program,High Interest
CALL3000186,REP003,Charlie Vance,South,1800000150,2025-05-20,In-Person,Clinical Trials Data,High Interest
CALL3000187,REP002,Bob Mendez,West,1800000240,2025-06-19,Email Follow-up,Safety & Tolerability,Busy - Left Materials
CALL3000188,REP001,Alice Carter,East,1800000229,2025-07-17,In-Person,Efficacy Profile,Neutral
CALL3000189,REP001,Alice Carter,East,1800000015,2025-11-03,In-Person,Clinical Trials Data,High Interest
CALL3000190,REP005,Ethan Hunt,Northeast,1800000161,2025-07-06,Virtual Video,Clinical Trials Data,Favorable
CALL3000191,REP005,Ethan Hunt,Northeast,1800000227,2025-02-19,Email Follow-up,Clinical Trials Data,Neutral
CALL3000192,REP001,Alice Carter,East,1800000143,2025-11-11,Phone Call,Clinical Trials Data,Unfavorable
CALL3000193,REP004,Diana Prince,Midwest,1800000094,2025-12-03,Virtual Video,Efficacy Profile,High Interest
CALL3000194,REP003,Charlie Vance,South,1800000189,2025-05-29,Phone Call,Efficacy Profile,Busy - Left Materials
CALL3000195,REP003,Charlie Vance,South,1800000055,2025-05-05,Virtual Video,Market Access & Formulary Update,Unfavorable
CALL3000196,REP002,Bob Mendez,West,1800000099,2025-08-25,In-Person,Efficacy Profile,Unfavorable
CALL3000197,REP004,Diana Prince,Midwest,1800000065,2025-02-23,Email Follow-up,Market Access & Formulary Update,Favorable
CALL3000198,REP005,Ethan Hunt,Northeast,1800000176,2025-12-30,Email Follow-up,Co-pay Assistance Program,Busy - Left Materials
CALL3000199,REP001,Alice Carter,East,1800000151,2025-12-12,Email Follow-up,Safety & Tolerability,Favorable
CALL3000200,REP001,Alice Carter,East,1800000176,2025-08-13,Phone Call,Co-pay Assistance Program,Busy - Left Materials
CALL3000201,REP005,Ethan Hunt,Northeast,1800000105,2025-11-29,In-Person,Clinical Trials Data,Neutral
CALL3000202,REP005,Ethan Hunt,Northeast,1800000065,2025-02-21,Virtual Video,Efficacy Profile,High Interest
CALL3000203,REP005,Ethan Hunt,Northeast,1800000053,2025-03-24,Virtual Video,Efficacy Profile,Busy - Left Materials
CALL3000204,REP003,Charlie Vance,South,1800000103,2025-04-02,In-Person,Clinical Trials Data,Busy - Left Materials
CALL3000205,REP004,Diana Prince,Midwest,1800000045,2025-11-12,Virtual Video,Clinical Trials Data,High Interest
CALL3000206,REP005,Ethan Hunt,Northeast,1800000161,2025-06-06,In-Person,Efficacy Profile,Favorable
CALL3000207,REP005,Ethan Hunt,Northeast,1800000180,2025-12-08,Virtual Video,Market Access & Formulary Update,Busy - Left Materials
CALL3000208,REP002,Bob Mendez,West,1800000185,2025-09-19,In-Person,Safety & Tolerability,Busy - Left Materials
CALL3000209,REP003,Charlie Vance,South,1800000194,2025-11-02,Virtual Video,Market Access & Formulary Update,High Interest
CALL3000210,REP002,Bob Mendez,West,1800000020,2025-06-27,In-Person,Safety & Tolerability,Favorable
CALL3000211,REP004,Diana Prince,Midwest,1800000081,2025-11-25,In-Person,Clinical Trials Data,Busy - Left Materials
CALL3000212,REP002,Bob Mendez,West,1800000149,2025-11-27,Virtual Video,Co-pay Assistance Program,Busy - Left Materials
CALL3000213,REP005,Ethan Hunt,Northeast,1800000051,2025-08-06,Virtual Video,Clinical Trials Data,Unfavorable
CALL3000214,REP001,Alice Carter,East,1800000033,2025-04-24,In-Person,Co-pay Assistance Program,Favorable
CALL3000215,REP002,Bob Mendez,West,1800000216,2025-06-17,Virtual Video,Clinical Trials Data,High Interest
CALL3000216,REP001,Alice Carter,East,1800000018,2025-11-22,In-Person,Market Access & Formulary Update,High Interest
CALL3000217,REP002,Bob Mendez,West,1800000235,2025-05-06,In-Person,Clinical Trials Data,Favorable
CALL3000218,REP005,Ethan Hunt,Northeast,1800000135,2025-10-15,In-Person,Efficacy Profile,Favorable
CALL3000219,REP002,Bob Mendez,West,1800000023,2025-03-11,Phone Call,Safety & Tolerability,Busy - Left Materials
CALL3000220,REP003,Charlie Vance,South,1800000242,2025-03-07,In-Person,Efficacy Profile,High Interest
CALL3000221,REP001,Alice Carter,East,1800000114,2025-11-24,Phone Call,Co-pay Assistance Program,Favorable
CALL3000222,REP001,Alice Carter,East,1800000186,2025-06-28,In-Person,Efficacy Profile,Unfavorable
CALL3000223,REP005,Ethan Hunt,Northeast,1800000021,2025-02-04,Email Follow-up,Efficacy Profile,Neutral
CALL3000224,REP005,Ethan Hunt,Northeast,1800000008,2025-09-19,Phone Call,Efficacy Profile,High Interest
CALL3000225,REP001,Alice Carter,East,1800000215,2025-06-15,In-Person,Co-pay Assistance Program,High Interest
CALL3000226,REP002,Bob Mendez,West,1800000212,2025-03-24,Phone Call,Efficacy Profile,High Interest
CALL3000227,REP001,Alice Carter,East,1800000250,2025-03-27,Email Follow-up,Co-pay Assistance Program,High Interest
CALL3000228,REP005,Ethan Hunt,Northeast,1800000047,2025-07-22,Email Follow-up,Efficacy Profile,Favorable
CALL3000229,REP005,Ethan Hunt,Northeast,1800000015,2025-10-29,Email Follow-up,Safety & Tolerability,Unfavorable
CALL3000230,REP001,Alice Carter,East,1800000113,2025-11-12,In-Person,Co-pay Assistance Program,Unfavorable
CALL3000231,REP002,Bob Mendez,West,1800000127,2025-02-25,In-Person,Efficacy Profile,Neutral
CALL3000232,REP003,Charlie Vance,South,1800000029,2025-06-05,In-Person,Co-pay Assistance Program,Busy - Left Materials
CALL3000233,REP005,Ethan Hunt,Northeast,1800000129,2025-03-03,Email Follow-up,Co-pay Assistance Program,Busy - Left Materials
CALL3000234,REP001,Alice Carter,East,1800000011,2025-10-17,Phone Call,Market Access & Formulary Update,Favorable
CALL3000235,REP003,Charlie Vance,South,1800000139,2025-05-03,Phone Call,Market Access & Formulary Update,High Interest
CALL3000236,REP002,Bob Mendez,West,1800000120,2025-06-21,Virtual Video,Clinical Trials Data,Favorable
CALL3000237,REP003,Charlie Vance,South,1800000237,2025-08-31,In-Person,Co-pay Assistance Program,Favorable
CALL3000238,REP002,Bob Mendez,West,1800000175,2025-04-09,Phone Call,Clinical Trials Data,Neutral
CALL3000239,REP001,Alice Carter,East,1800000207,2025-10-23,In-Person,Clinical Trials Data,Unfavorable
CALL3000240,REP002,Bob Mendez,West,1800000092,2025-08-04,Virtual Video,Clinical Trials Data,Neutral
